               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085994,            0.025886,                   0,             0.33061,             0.55268,             0.33276,             0.10018,            0.056076,            0.016994,                   0,            0.070306,           0.0032993,           0.0032993
                   1,            0.057741,             0.01823,                   0,             0.70913,             0.82823,             0.82292,             0.35047,            0.045401,            0.011123,                   0,            0.040175,           0.0065013,           0.0065013
                   2,            0.051506,            0.014444,                   0,              0.9079,             0.92716,             0.96711,             0.43839,            0.039854,           0.0086985,                   0,           0.0099115,           0.0095713,           0.0095713
                   3,            0.044539,            0.011597,                   0,             0.89662,             0.97697,             0.98149,             0.44671,            0.038742,           0.0070953,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.039053,           0.0099353,                   0,             0.98683,             0.99808,             0.99454,             0.59417,            0.029891,           0.0066002,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.03475,           0.0092766,                   0,             0.99736,                   1,               0.995,             0.59662,            0.027515,           0.0060235,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.032982,           0.0088152,                   0,             0.99785,             0.99808,              0.9945,             0.59125,            0.028801,           0.0058103,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.030826,            0.008391,                   0,              0.9998,                   1,               0.995,             0.65422,            0.026296,           0.0057037,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.029359,           0.0083441,                   0,             0.99981,                   1,               0.995,              0.7036,            0.023647,            0.005561,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.028776,           0.0080272,                   0,             0.99983,                   1,               0.995,             0.68061,            0.025244,           0.0054219,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.026671,           0.0077137,                   0,             0.99976,                   1,               0.995,             0.68951,            0.024132,           0.0054599,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.027307,            0.007755,                   0,             0.99984,                   1,               0.995,             0.71082,            0.022893,           0.0053643,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.025506,           0.0074869,                   0,             0.99982,                   1,               0.995,             0.69509,            0.023046,           0.0052303,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.024741,            0.007416,                   0,             0.99985,                   1,               0.995,             0.73136,            0.021315,            0.005137,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.024033,           0.0073914,                   0,             0.99985,                   1,               0.995,             0.71343,            0.021551,           0.0052738,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.024118,           0.0073193,                   0,             0.99984,                   1,               0.995,             0.72188,            0.021664,           0.0053259,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.023309,           0.0071431,                   0,             0.99984,                   1,               0.995,             0.71968,            0.021196,           0.0051239,                   0,             0.00703,             0.00703,             0.00703
                  17,             0.02318,            0.006906,                   0,             0.99984,                   1,               0.995,             0.71015,            0.022101,           0.0052493,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.022362,           0.0070802,                   0,             0.99986,                   1,               0.995,               0.744,            0.019842,           0.0050044,                   0,            0.006634,            0.006634,            0.006634
                  19,             0.02188,           0.0070857,                   0,             0.99986,                   1,               0.995,             0.73621,            0.019985,           0.0049912,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.021389,           0.0067315,                   0,             0.99986,                   1,               0.995,             0.74842,            0.020092,           0.0049718,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.021812,            0.006938,                   0,             0.99986,                   1,               0.995,             0.74758,            0.019558,           0.0050301,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.020821,           0.0067203,                   0,             0.99986,                   1,               0.995,             0.76038,            0.019755,           0.0049534,                   0,            0.005842,            0.005842,            0.005842
                  23,              0.0212,           0.0067752,                   0,             0.99986,                   1,               0.995,             0.73351,             0.02006,           0.0049846,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.020856,           0.0067153,                   0,             0.99987,                   1,               0.995,             0.76144,            0.019078,           0.0048232,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.020518,           0.0066789,                   0,             0.99986,                   1,               0.995,              0.7627,            0.019593,           0.0050069,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.02042,           0.0066484,                   0,             0.99986,                   1,               0.995,             0.76954,            0.019056,           0.0048602,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.019795,           0.0066789,                   0,             0.99986,                   1,               0.995,             0.76685,             0.01901,           0.0047766,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.019449,            0.006266,                   0,             0.99983,                   1,               0.995,             0.77189,            0.018823,            0.004784,                   0,            0.004654,            0.004654,            0.004654
                  29,             0.01945,           0.0063873,                   0,             0.99987,                   1,               0.995,             0.76496,            0.019247,           0.0048303,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.019524,           0.0065337,                   0,             0.99987,                   1,               0.995,             0.76647,            0.019033,           0.0048496,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.019261,           0.0063341,                   0,             0.99986,                   1,               0.995,             0.77103,            0.019129,           0.0047834,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.018936,           0.0062607,                   0,             0.99987,                   1,               0.995,             0.77384,            0.018664,           0.0047151,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.018674,           0.0062828,                   0,             0.99987,                   1,               0.995,             0.77463,            0.018434,           0.0047045,                   0,            0.003664,            0.003664,            0.003664
                  34,              0.0183,           0.0061648,                   0,             0.99987,                   1,               0.995,             0.77729,            0.018398,           0.0046502,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.018386,           0.0060059,                   0,             0.99988,                   1,               0.995,             0.77412,            0.018693,           0.0047145,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.018558,           0.0063006,                   0,             0.99987,                   1,               0.995,             0.77215,            0.018295,            0.004639,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.018109,            0.006177,                   0,             0.99988,                   1,               0.995,             0.78433,            0.018054,            0.004537,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.018051,           0.0060774,                   0,             0.99987,                   1,               0.995,             0.78078,            0.018101,           0.0045853,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.017794,           0.0060747,                   0,             0.99987,                   1,               0.995,             0.78347,            0.017987,           0.0045675,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.017423,           0.0059463,                   0,             0.99987,                   1,               0.995,             0.79101,            0.017828,           0.0045191,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.017505,           0.0059464,                   0,             0.99987,                   1,               0.995,             0.78435,            0.017846,            0.004598,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.017401,           0.0060324,                   0,             0.99988,                   1,               0.995,             0.78692,            0.017579,            0.004568,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.017286,           0.0058342,                   0,             0.99988,                   1,               0.995,             0.78754,            0.017688,           0.0045115,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.017139,           0.0059971,                   0,             0.99987,                   1,               0.995,             0.78998,            0.017466,           0.0044827,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.017133,           0.0058593,                   0,             0.99987,                   1,               0.995,             0.79025,            0.017932,           0.0045521,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.01699,           0.0058819,                   0,             0.99988,                   1,               0.995,             0.78804,            0.017753,           0.0045487,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.016701,           0.0059491,                   0,             0.99988,                   1,               0.995,              0.7951,            0.017456,           0.0045281,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.016607,           0.0058293,                   0,             0.99988,                   1,               0.995,             0.78895,            0.017512,           0.0045728,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.016524,           0.0056905,                   0,             0.99988,                   1,               0.995,             0.79059,            0.017423,           0.0044851,                   0,            0.000496,            0.000496,            0.000496
